Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
2036,84,BLZ,13106,8773.4,14738.6,63080.24879,137977.3382,59457.49681,17.77659272,15.95200201,18.34875027
2037,84,BLZ,13651,8896.8,15485.2,61706.39542,139095.2559,57958.40088,17.9731051,16.01223679,18.5950507
2038,84,BLZ,14196,9020.2,16231.8,60332.54205,140213.1736,56459.30495,18.16396964,16.0718646,18.83282681
2039,84,BLZ,14741,9143.6,16978.4,58958.68868,141331.0913,54960.20902,18.34955646,16.13089973,19.06274619
2040,84,BLZ,15286,9267,17725,57584.83531,142449.0089,53461.11309,18.5301988,16.18935596,19.28539746
2041,84,BLZ,15911.4,9393.8,18596.8,56296.99942,143487.4691,52084.70636,18.73178563,16.24883371,19.53688161
2042,84,BLZ,16536.8,9520.6,19468.6,55009.16353,144525.9292,50708.29963,18.92766735,16.30772811,19.77989914
2043,84,BLZ,17162.2,9647.4,20340.4,53721.32765,145564.3894,49331.89291,19.11821231,16.36605254,20.01509581
2044,84,BLZ,17787.6,9774.2,21212.2,52433.49176,146602.8495,47955.48618,19.30375271,16.42381989,20.24304298
2045,84,BLZ,18413,9901,22084,51145.65587,147641.3097,46579.07946,19.48458923,16.48104261,20.46424876
2046,84,BLZ,19100.2,10034.4,23068.4,49949.21217,148473.5749,45323.20008,19.67819594,16.54066909,20.70648882
2047,84,BLZ,19787.4,10167.8,24052.8,48752.76846,149305.8401,44067.32069,19.86678131,16.59971956,20.94129445
2048,84,BLZ,20474.6,10301.2,25037.2,47556.32476,150138.1053,42811.44131,20.0506434,16.65820703,21.16918456
2049,84,BLZ,21161.8,10434.6,26021.6,46359.88105,150970.3705,41555.56193,20.23005324,16.71614405,21.39062315
2050,84,BLZ,21849,10568,27006,45163.43734,151802.6358,40299.68255,20.40525814,16.77354275,21.6060269
2051,84,BLZ,22592.6,10710.8,28109.2,44080.3131,152418.2362,39180.16782,20.59036714,16.83440273,21.84071801
2052,84,BLZ,23336.2,10853.6,29212.4,42997.18885,153033.8366,38060.65309,20.77107953,16.89467311,22.06877683
2053,84,BLZ,24079.8,10996.4,30315.6,41914.06461,153649.437,36941.13835,20.94763499,16.95436724,22.29063098
2054,84,BLZ,24823.4,11139.2,31418.8,40830.94036,154265.0375,35821.62362,21.1202532,17.013498,22.50666614
